tweetid,authorid,content,lang,date,source,geo,retweetcount,likecount,quotecount
1554369750175780864,936125201540149248,“Only Lionel Messi more” every category ,en,20220802T07 33 21 000Z,Twitter iPhone,,0,0,0
1554369704265129984,719822976829546497,vikramsuresh10 psychronicles Balls Riqui actually talent time probably player could play passes cut defence apart Messi Busi Think without bias abeg He's gone shit players better didn't consider loan moves ,en,20220802T07 33 10 000Z,Twitter Android,,0,0,0
1554369683473645568,1124462707355181056,"cr7raprhymes ESPNFC Messi winning everything, blame Even Messi become Portuguese now, blame President bringin GOAT CR's country ",en,20220802T07 33 05 000Z,Twitter Android,,0,0,0
1554369634563940361,1529031568659980288,ronaldowarrior TimelineCR7 Messi won treble Barca 2015 ,en,20220802T07 32 54 000Z,Twitter Android,,0,0,0
1554369624111734785,1217760894563897345,"ObviouslyOnTop majesticalking MccallJelil MrFilipeOrlando Ronaldo ucl competition top goal scorer That's one competition many talk highest goals football history , mins per goal , Messi still best regard",en,20220802T07 32 51 000Z,Twitter Android,,0,0,0
1554369553505058817,826713582,PSG without Mbappe much much better chemistry Messi Neymar far better Mbappe plays individual game lot ,en,20220802T07 32 35 000Z,Twitter iPhone,,1,1,0
1554369407001952256,719718188,"Since 07/08 Messi, Ibra Ronaldo scored goals outside box pjanic ",en,20220802T07 32 00 000Z,Twitter iPhone,,0,0,0
1554369338257412097,1432286945774907394,"| PSG want renew Leo Messi's contract, FC Barcelona want start conversations coming months amp MLS also option decide January/February FabrizioRomano [️]",en,20220802T07 31 43 000Z,Twitter Android,,0,0,0
1554369327578730497,1013836133602594817,Messi GOAT TalkYourTalk Messi,en,20220802T07 31 41 000Z,Twitter Android,,0,1,0
1554369327071215617,748853535668830208,If tell Ronaldo better Messi don't know ball Simple ,en,20220802T07 31 41 000Z,Twitter Android,,0,0,0
1554369326676729856,1498057091432718336,LosB1ancos Messi say anything Ramos Mourinho,en,20220802T07 31 40 000Z,Twitter Android,,0,0,0
1554369312324042753,1137923042129195008,"WizkidPolice BoluwatifePaul2 SeanGillen9 sooo arrogant Football aside, Messi far humble him",en,20220802T07 31 37 000Z,Twitter Android,,0,1,0
1554369298373947392,1294914494,"That's one way announce First thing I thought I saw 'Imagine reaction Messi, Ronaldo Zlatan goal world class can't wait see damage causes season ",en,20220802T07 31 34 000Z,Twitter Web App,,0,0,0
1554369295936851969,414635851,"Noxoine123 Diertok EIIisV3 make easy Messi, Xavi, Iniesta, Valdez, Puyol started playing Barcelona first team 2005 That's point ",en,20220802T07 31 33 000Z,Twitter Android,,0,0,0
1554369293252378626,1488352927165026305,MessiGunners JackPosobiec wars That's pretty significant,en,20220802T07 31 32 000Z,Twitter Android,,0,0,0
1554369291729895429,1432286945774907394, | Confirmed Xavi happy sign Leo Messi constant contact amp remain good friends Laporta dreaming return well FabrizioRomano [️],en,20220802T07 31 32 000Z,Twitter Android,,0,0,0
1554369252483743745,563433319,"messi like ""mending turu"" ",en,20220802T07 31 23 000Z,Twitter Android,,0,0,0
1554369236486819840,1415625020076871684,FutKaiden FUTonyStark Messi fan ronaldo net worth 1B btw ,en,20220802T07 31 19 000Z,Twitter iPad,,0,0,0
1554369232770461698,762507021270650883,alimophilip Always top Messi,en,20220802T07 31 18 000Z,Twitter Web App,,0,1,0
1554369195390996480,1061670354001821702,"Sana66274257 MadridPreeti don't care man Difference Messi Ronaldo this, Messi quality Ronaldo quantity expect everyone going 2nd best could settle best Aside goals, else Ronaldo waiting",en,20220802T07 31 09 000Z,Twitter Android,,0,0,0
1554369190735142912,1408053905288695816,1realbounty royaldennis16 bettorwannabe Sporf UCL World Cup finals matter ironically Messi choked ,en,20220802T07 31 08 000Z,Twitter Web App,,0,0,0
1554369152097439745,1552562523232149505,SK10Football Messi work smart hard,en,20220802T07 30 59 000Z,Twitter Android,,0,0,0
1554369118962270208,1441231682728710145,profit8lue messi TA dude ,en,20220802T07 30 51 000Z,Twitter Android,,0,0,0
1554369116995293185,1137923042129195008,WizkidPolice BoluwatifePaul2 SeanGillen9 Bruh position Messi can't play GK that's cause stature Put mf CB one gets pass him,en,20220802T07 30 50 000Z,Twitter Android,,0,1,0
1554369108375998464,254441993,"If ever asked greatest footballer is, tell it's person looked imitated peers younger generation Messi CR7 FIFA",en,20220802T07 30 48 000Z,Twitter Android,01b68e946ba11520,0,0,0
1554369045809442816,1393548718448603136,Stats comparison Lionel Messi Man Utd's Ronaldo's stats finals reveals winner ,en,20220802T07 30 33 000Z,dlvr it,,0,0,0
1554369027782463489,902461358523994113,"The kinda energy want, celebrating bandits promoting mediocrity Carter Efe / Wike / Messi / South east ",en,20220802T07 30 29 000Z,Twitter iPhone,,0,0,0
1554369019834236928,701746594979430401,AdvocateMpohla MarinoGilbert1 AlaminAhmed Without Messi psg would lost league like last 2season lost lile,en,20220802T07 30 27 000Z,Twitter Android,,0,0,0
1554369018575872001,2986813930,"JuxLarry Dictating games like messi freaking lie dfkm doesnt even dictate like kane dems, talk less prime messi",en,20220802T07 30 27 000Z,Twitter Android,,0,0,0
1554369017250545664,1283896445934936066,Messi GOAT TalkYourTalk Messi,en,20220802T07 30 27 000Z,Twitter Android,,0,0,0
